customer_id,customer_name,email,prefecture,registered_at,phone_numbers,profile
11,原田 由紀,yuki2.harada@example.com,三重県,2025-06-16,"{""080-4432-5374""}","{""rank"":""bronze"",""age_group"":""60s"",""interests"":[""gadget"",""food"",""office""],""notification"":{""email"":true,""sms"":false}}"
12,阿部 和也,kazuya.abe@example.com,佐賀県,2025-08-13,"{""080-1916-4752"",""070-6168-7572""}","{""rank"":""silver"",""age_group"":""10s"",""interests"":[""fashion""],""notification"":{""email"":true,""sms"":false}}"
13,石川 千尋,chihiro.ishikawa@example.com,長崎県,2026-04-15,"{""080-3287-5040""}","{""rank"":""bronze"",""age_group"":""50s"",""interests"":[""chair"",""music"",""book""],""notification"":{""email"":false,""sms"":true}}"
14,小林 翔太,shota.kobayashi@example.com,島根県,2025-04-04,"{""070-3504-3621""}","{""rank"":""bronze"",""age_group"":""40s"",""interests"":[""gadget"",""book"",""pet""],""notification"":{""email"":false,""sms"":false}}"
15,太田 涼太,ryota.ota@example.com,北海道,2025-04-28,"{""090-5371-6573"",""070-5808-8123""}","{""rank"":""gold"",""age_group"":""40s"",""interests"":[""chair""],""notification"":{""email"":true,""sms"":true}}"
16,柴田 勇気,yuki.shibata@example.com,長野県,2026-06-04,"{""070-3504-7126"",""070-9837-9689""}","{""rank"":""gold"",""age_group"":""50s"",""interests"":[""cooking"",""travel""],""notification"":{""email"":true,""sms"":false}}"
17,武田 由紀,yuki2.takeda@example.com,長野県,2025-09-03,"{""070-2290-2403""}","{""rank"":""bronze"",""age_group"":""40s"",""interests"":[""game""],""notification"":{""email"":true,""sms"":true}}"
18,石井 真由美,mayumi.ishii@example.com,徳島県,2025-06-19,"{""090-7932-4470""}","{""rank"":""bronze"",""age_group"":""60s"",""interests"":[""drive"",""monitor"",""book""],""notification"":{""email"":false,""sms"":false}}"
19,菅原 翔太,shota.sugawara@example.com,奈良県,2025-05-04,"{""070-2049-6539""}","{""rank"":""gold"",""age_group"":""50s"",""interests"":[""office"",""game"",""travel""],""notification"":{""email"":true,""sms"":true}}"
20,松本 美香,mika.matsumoto@example.com,岩手県,2025-12-05,"{""090-4899-5562""}","{""rank"":""bronze"",""age_group"":""40s"",""interests"":[""game""],""notification"":{""email"":true,""sms"":false}}"
21,井上 隆,takashi.inoue@example.com,鳥取県,2026-02-21,"{""070-2588-8062""}","{""rank"":""silver"",""age_group"":""40s"",""interests"":[""camera"",""coffee""],""notification"":{""email"":true,""sms"":true}}"
22,石川 健二,kenji.ishikawa@example.com,静岡県,2025-04-22,"{""070-4116-9786""}","{""rank"":""silver"",""age_group"":""20s"",""interests"":[""food"",""chair""],""notification"":{""email"":false,""sms"":true}}"
23,柴田 美香,mika.shibata@example.com,奈良県,2025-04-11,"{""090-9856-1241""}","{""rank"":""gold"",""age_group"":""20s"",""interests"":[""music""],""notification"":{""email"":false,""sms"":false}}"
24,山口 涼太,ryota.yamaguchi@example.com,京都府,2025-03-02,"{""080-1035-7396""}","{""rank"":""silver"",""age_group"":""40s"",""interests"":[""music"",""cooking""],""notification"":{""email"":true,""sms"":true}}"
25,斎藤 直樹,naoki.saito@example.com,宮城県,2025-03-04,"{""080-1936-1821"",""090-8811-9238""}","{""rank"":""bronze"",""age_group"":""20s"",""interests"":[""pet""],""notification"":{""email"":true,""sms"":true}}"
26,伊藤 麻衣,mai.ito@example.com,秋田県,2025-08-29,"{""070-5033-1651""}","{""rank"":""bronze"",""age_group"":""10s"",""interests"":[""pet"",""fashion""],""notification"":{""email"":false,""sms"":true}}"
27,石井 海斗,kaito.ishii@example.com,岐阜県,2025-09-02,"{""080-3144-5915""}","{""rank"":""silver"",""age_group"":""30s"",""interests"":[""travel""],""notification"":{""email"":false,""sms"":true}}"
28,伊藤 沙織,saori.ito@example.com,神奈川県,2026-06-03,"{""070-6718-2127""}","{""rank"":""gold"",""age_group"":""30s"",""interests"":[""food"",""camera""],""notification"":{""email"":false,""sms"":true}}"
29,石井 由紀,yuki2.ishii@example.com,徳島県,2025-11-03,"{""070-3200-5333"",""070-2753-3546""}","{""rank"":""silver"",""age_group"":""30s"",""interests"":[""drive"",""fashion"",""game""],""notification"":{""email"":false,""sms"":false}}"
30,木村 千尋,chihiro.kimura@example.com,宮城県,2025-04-05,"{""080-5533-1722"",""070-6464-3143""}","{""rank"":""bronze"",""age_group"":""30s"",""interests"":[""camera""],""notification"":{""email"":false,""sms"":true}}"
31,中村 美香,mika.nakamura@example.com,宮崎県,2025-06-02,"{""070-7049-3426"",""080-3088-1685""}","{""rank"":""silver"",""age_group"":""30s"",""interests"":[""sports""],""notification"":{""email"":true,""sms"":true}}"
32,石井 健,ken.ishii@example.com,愛知県,2026-02-21,"{""090-3532-4878"",""070-3900-7755""}","{""rank"":""gold"",""age_group"":""20s"",""interests"":[""fashion"",""music"",""office""],""notification"":{""email"":false,""sms"":true}}"
33,中山 海斗,kaito.nakayama@example.com,福島県,2026-01-27,"{""080-4644-4269""}","{""rank"":""silver"",""age_group"":""30s"",""interests"":[""office"",""game""],""notification"":{""email"":true,""sms"":true}}"
34,石川 亮,ryo.ishikawa@example.com,福井県,2025-03-13,"{""080-9346-7548""}","{""rank"":""bronze"",""age_group"":""50s"",""interests"":[""travel"",""desk_setup""],""notification"":{""email"":false,""sms"":true}}"
35,藤井 和也,kazuya.fujii@example.com,岩手県,2025-04-22,"{""080-6663-6139"",""080-9379-2894""}","{""rank"":""silver"",""age_group"":""50s"",""interests"":[""chair""],""notification"":{""email"":true,""sms"":false}}"
36,佐藤 翔太,shota.sato@example.com,山口県,2025-07-21,"{""080-2146-6409""}","{""rank"":""bronze"",""age_group"":""30s"",""interests"":[""desk_setup"",""monitor"",""pet""],""notification"":{""email"":false,""sms"":false}}"
37,石川 海斗,kaito.ishikawa@example.com,山梨県,2025-05-11,"{""080-7211-3851""}","{""rank"":""bronze"",""age_group"":""50s"",""interests"":[""book"",""travel""],""notification"":{""email"":false,""sms"":false}}"
38,山口 愛子,aiko.yamaguchi@example.com,愛媛県,2025-11-26,"{""080-8244-4501""}","{""rank"":""bronze"",""age_group"":""40s"",""interests"":[""food"",""gadget"",""monitor""],""notification"":{""email"":false,""sms"":true}}"
39,上田 美穂,miho.ueda@example.com,富山県,2025-11-14,"{""070-3414-1400""}","{""rank"":""gold"",""age_group"":""20s"",""interests"":[""gadget"",""camera""],""notification"":{""email"":false,""sms"":true}}"
40,原 海斗,kaito.hara@example.com,滋賀県,2026-05-22,"{""070-3417-1090""}","{""rank"":""gold"",""age_group"":""40s"",""interests"":[""food""],""notification"":{""email"":false,""sms"":true}}"
41,太田 由美,yumi.ota@example.com,茨城県,2026-04-13,"{""080-9702-6198""}","{""rank"":""silver"",""age_group"":""50s"",""interests"":[""pet"",""music"",""camera""],""notification"":{""email"":true,""sms"":false}}"
42,後藤 和也,kazuya.goto@example.com,富山県,2025-10-11,"{""080-4919-5499"",""080-2269-5681""}","{""rank"":""gold"",""age_group"":""30s"",""interests"":[""fashion"",""gadget""],""notification"":{""email"":true,""sms"":true}}"
43,松本 拓也,takuya.matsumoto@example.com,宮崎県,2025-06-06,"{""070-2052-7797"",""080-6421-9890""}","{""rank"":""silver"",""age_group"":""40s"",""interests"":[""drive""],""notification"":{""email"":false,""sms"":false}}"
44,菅原 美穂,miho.sugawara@example.com,愛媛県,2025-01-21,"{""080-8814-1096"",""080-5892-7389""}","{""rank"":""silver"",""age_group"":""50s"",""interests"":[""game"",""office"",""cooking""],""notification"":{""email"":true,""sms"":false}}"
45,藤田 真由美,mayumi.fujita@example.com,青森県,2026-02-03,"{""090-7624-3704""}","{""rank"":""silver"",""age_group"":""20s"",""interests"":[""game"",""travel"",""book""],""notification"":{""email"":true,""sms"":true}}"
46,松田 愛子,aiko.matsuda@example.com,栃木県,2026-04-18,"{""070-5262-7211""}","{""rank"":""silver"",""age_group"":""20s"",""interests"":[""fashion"",""game""],""notification"":{""email"":false,""sms"":false}}"
47,金子 由紀,yuki2.kaneko@example.com,大阪府,2025-09-16,"{""080-1317-9837""}","{""rank"":""gold"",""age_group"":""30s"",""interests"":[""gadget""],""notification"":{""email"":true,""sms"":true}}"
48,井上 直樹,naoki.inoue@example.com,青森県,2025-06-06,"{""070-8758-2874""}","{""rank"":""bronze"",""age_group"":""20s"",""interests"":[""chair"",""sports""],""notification"":{""email"":true,""sms"":true}}"
49,和田 由紀,yuki2.wada@example.com,埼玉県,2025-11-15,"{""090-1420-6111""}","{""rank"":""bronze"",""age_group"":""60s"",""interests"":[""book"",""drive""],""notification"":{""email"":true,""sms"":true}}"
50,山本 海斗,kaito.yamamoto@example.com,長野県,2025-05-04,"{""070-6688-9728"",""080-7071-2129""}","{""rank"":""bronze"",""age_group"":""60s"",""interests"":[""travel"",""music""],""notification"":{""email"":false,""sms"":true}}"
51,藤田 美咲,misaki.fujita@example.com,佐賀県,2026-04-16,"{""070-8135-3885"",""090-9548-5425""}","{""rank"":""bronze"",""age_group"":""50s"",""interests"":[""camera"",""music""],""notification"":{""email"":false,""sms"":false}}"
52,小野 由美,yumi.ono@example.com,山形県,2025-10-13,"{""070-8613-7209""}","{""rank"":""silver"",""age_group"":""10s"",""interests"":[""fashion"",""food""],""notification"":{""email"":false,""sms"":true}}"
53,池田 隆,takashi.ikeda@example.com,石川県,2025-12-15,"{""090-5526-1166""}","{""rank"":""bronze"",""age_group"":""20s"",""interests"":[""office""],""notification"":{""email"":false,""sms"":false}}"
54,太田 美穂,miho.ota@example.com,富山県,2026-05-03,"{""090-9041-8342"",""070-2524-5820""}","{""rank"":""gold"",""age_group"":""40s"",""interests"":[""office"",""monitor"",""sports""],""notification"":{""email"":false,""sms"":false}}"
55,藤田 健二,kenji.fujita@example.com,徳島県,2025-12-05,"{""090-8434-5438""}","{""rank"":""silver"",""age_group"":""30s"",""interests"":[""desk_setup""],""notification"":{""email"":true,""sms"":false}}"
56,中村 健二,kenji.nakamura@example.com,山口県,2025-07-09,"{""070-8933-5530""}","{""rank"":""bronze"",""age_group"":""50s"",""interests"":[""monitor"",""desk_setup"",""drive""],""notification"":{""email"":false,""sms"":true}}"
57,橋本 一郎,ichiro.hashimoto@example.com,長野県,2025-01-15,"{""090-3073-5494"",""070-1893-5786""}","{""rank"":""bronze"",""age_group"":""20s"",""interests"":[""cooking"",""desk_setup"",""travel""],""notification"":{""email"":false,""sms"":false}}"
58,村上 大輔,daisuke.murakami@example.com,静岡県,2025-07-08,"{""080-8827-2869""}","{""rank"":""gold"",""age_group"":""40s"",""interests"":[""gadget"",""coffee""],""notification"":{""email"":true,""sms"":true}}"
59,石田 健太,kenta.ishida@example.com,長野県,2025-03-29,"{""070-7818-4697""}","{""rank"":""bronze"",""age_group"":""40s"",""interests"":[""camera"",""monitor""],""notification"":{""email"":false,""sms"":false}}"
60,西村 麻衣,mai.nishimura@example.com,宮城県,2025-04-12,"{""090-4457-5335""}","{""rank"":""bronze"",""age_group"":""10s"",""interests"":[""office""],""notification"":{""email"":true,""sms"":true}}"
